comment;Lang-tag;SA-tag;Off-lang-tag;;;
est magique;FRN;1;0;;;
est merite;FRN;1;0;;;
est ou;FRN;3;0;;;
est parti;FRN;3;0;;;
est quand;FRN;3;0;;;
chaHal dakhla;DAL;3;0;;;
Chahrazad chazou;DAL;3;0;;;
Chapo imad;DAL;1;0;;;
Cheno kaye3emele;DAL;3;0;;;
Chhl tamn;DAL;3;0;;;
chihay tayab;DAL;3;0;;;
Chmn asbab;DAL;3;0;;;
Chno hada;DAL;3;0;;;
Chno hadchi;DAL;3;0;;;
Chno kayjebedeloha;DAL;3;0;;;
Chno kaykhite;DAL;3;0;;;
chocalata syenna;DAL;3;0;;;
Chono fiha;DAL;3;0;;;
Contact svp;FRN;3;0;;;
Corasson espinado;ESP;3;0;;;
Cout svp;FRN;3;0;;;
Daba tnadmi;DAL;2;0;;;
Daba ymkn;DAL;3;0;;;
darna h;DAL;3;0;;;
Darori l3onwan;DAL;3;0;;;
Deboraah brada;DAL;3;0;;;
Des clochards;FRN;2;1;;;
dido daida;DAL;3;0;;;
Dima maghreb;DAL;1;0;;;
Dima maghrib;DAL;1;0;;;
Dima osod;DAL;1;0;;;
DIMA raja;DAL;1;0;;;
dima roj;DAL;1;0;;;
Dokala dokala;DAL;1;0;;;
ellah ichafih;DAL;1;0;;;
Enjoy it;ANG;1;0;;;
Et alors;FRN;2;0;;;
Ewa ssmaani;DAL;3;0;;;
Exelent bravo;FRN;1;0;;;
fabour osafii;DAL;1;0;;;
Fain kain;DAL;3;0;;;
Fausse information;FRN;2;1;;;
Fi daRhom;DAL;3;0;;;
Fin hadachi;DAL;3;0;;;
Fin kaynin;DAL;3;0;;;
Fin kaynine;DAL;3;0;;;
fin kayun;DAL;3;0;;;
Fin l3yada;DAL;3;0;;;
Fin ntina;DAL;3;0;;;
Fine hadchi;DAL;3;0;;;
Fine hadechi;DAL;3;0;;;
Finhowa ta3kim;DAL;2;0;;;
Fiorella ciani;DAL;3;0;;;
Fiy jo3;DAL;2;0;;;
Fkra zwina;DAL;1;0;;;
Felicitations dr;FRN;1;0;;;
Felicitations professeur;FRN;1;0;;;
fucking estuped;ANG;2;1;;;
gafsa tunis;DAL;3;0;;;
Gavin kanmot;DAL;2;0;;;
Good job;ANG;1;0;;;
Good men;ANG;1;0;;;
Grand changement;FRN;1;0;;;
Grand homme;FRN;1;0;;;
Great job;ANG;1;0;;;
Great souvenirs;DAL;1;0;;;
h baz;DAL;2;0;;;
h hamdin;DAL;2;0;;;
H kadahak;DAL;1;0;;;
H l9lawi;DAL;2;1;;;
H mel3o7a;DAL;2;0;;;
H mrhba;DAL;1;0;;;
H regada;DAL;1;0;;;
H sahla;DAL;1;0;;;
H wa3ra;DAL;1;0;;;
H walhma9;DAL;1;0;;;
h watitiz;DAL;1;0;;;
H wili;DAL;2;0;;;
h wlahilaa;DAL;3;0;;;
Hada gazar;DAL;2;1;;;
Hadchi khatir;DAL;2;1;;;
Hadchi lfann;DAL;1;0;;;
hadchi zwin;DAL;1;0;;;
hadi jaiha;DAL;2;0;;;
Hadi titwane;DAL;3;0;;;
Hadik ayasmin;DAL;1;0;;;
hahaha genial;FRN;1;0;;;
Hahahahahhah hayla;DAL;1;0;;;
Hahiya h;DAL;3;0;;;
Hajar 3ichii;DAL;3;0;;;
Haji hsen;DAL;1;0;;;
Hamdo lha;DAL;1;0;;;
Hamza lbar7;DAL;3;0;;;
Hamza lekher;DAL;3;0;;;
hanae skalli;DAL;3;0;;;
Hayato hayato;DAL;3;0;;;
Hbiba besahtek;DAL;1;0;;;
Hdar bl3arbya;DAL;2;0;;;
HichamHanouch 9ayad;DAL;2;0;;;
hin kayan;DAL;3;0;;;
Hm takadoum;DAL;3;0;;;
Hmdulah be3da;DAL;1;0;;;
Houssame 7adari;DAL;3;0;;;
Hram 3lik;DAL;2;1;;;
I3lam lmazbla;DAL;2;1;;;
Ihya da99;DAL;2;0;;;
Ilias خوتك;AUT;3;0;;;
imta h;DAL;3;0;;;
Ina mdina;DAL;3;0;;;
Inchallah kheir;DAL;1;0;;;
Is good;ANG;1;0;;;
Iwa yalmonkar;DAL;2;1;;;
Jaboha lboghaz;DAL;1;0;;;
Jam3 karak;DAL;2;1;;;
Jamali fatima;DAL;3;0;;;
Jamila fibrabat;DAL;3;0;;;
Janob char9i;DAL;3;0;;;
Jawabna doctor;DAL;3;0;;;
Jawbouni 3afak;DAL;3;0;;;
Jawhara hija;DAL;3;0;;;
Je confirme;FRN;1;0;;;
Jeu lu;FRN;3;0;;;
Ji3ane bzaf;DAL;2;1;;;
Jolie paysage;FRN;1;0;;;
Jusqu 15h;FRN;3;0;;;
Kadiro livraisons;DAL;3;0;;;
Katftcho flkhra;DAL;2;1;;;
Kay3jbni bezef;DAL;1;0;;;
kayjbdo blkhayt;DAL;3;0;;;
Ketama كتامه;AUT;3;0;;;
Khadija faja;DAL;3;0;;;
Khadma 3awja;DAL;2;1;;;
khalina nchoufo;DAL;3;0;;;
Khatar wlah;DAL;2;0;;;
Khatbha dentiste;DAL;3;0;;;
Khawana h;DAL;2;1;;;
Khawana moslemin;DAL;2;1;;;
Khdaw l3ssa;DAL;2;1;;;
khoumsi aicha;DAL;3;0;;;
Kifach mafhametch;DAL;3;0;;;
Kilabo nar;DAL;2;1;;;
Kol lmragba;DAL;3;0;;;
Kolchi maghchouch;DAL;2;0;;;
Kyjbed 3rou9rass;DAL;2;0;;;
kyzidha ch3r;DAL;2;0;;;
La base;FRN;3;0;;;
La corniche;FRN;3;0;;;
La fiesta;FRN;3;0;;;
La place;FRN;3;0;;;
La vitesse;FRN;3;0;;;
Lah ira7mo;DAL;1;0;;;
Lah m3akom;DAL;1;0;;;
lah orhmo;DAL;1;0;;;
lah ychafih;DAL;1;0;;;
Lah ychafik;DAL;1;0;;;
Lah yerahmo;DAL;1;0;;;
Lah yirahmo;DAL;1;0;;;
Lahoma amin;DAL;1;0;;;
lahoma barik;DAL;1;0;;;
lai3tik sha;DAL;1;0;;;
Laich rajaa;DAL;1;0;;;
Le feu;FRN;2;0;;;
le prix;FRN;3;0;;;
Lh yrahmo;DAL;1;0;;;
Lhay mohamadi;DAL;3;0;;;
Lhay mouhamadi;DAL;3;0;;;
Livraison gratuite;FRN;1;0;;;
Lkhorza dylk;DAL;3;0;;;
Lkhra machi;DAL;2;1;;;
Llah irahmho;DAL;1;0;;;
Llah yachafiha;DAL;1;0;;;
Love sushi;ANG;1;0;;;
M3ach vote;DAL;3;0;;;
Mabaynach walou;DAL;2;0;;;
Mabrok yastahlo;DAL;1;0;;;
Mabrouk a3likom;DAL;1;0;;;
Macha allah;DAL;1;0;;;
Macha lah;DAL;1;0;;;
Machaa lah;DAL;1;0;;;
Machaallah 3lk;DAL;1;0;;;
Machaallah docteur;DAL;1;0;;;
Machaelah docteur;DAL;1;0;;;
machafnach mazyan;DAL;2;0;;;
Machalh bitawofi9;DAL;1;0;;;
Machallah alik;DAL;1;0;;;
Mafhamt walo;DAL;2;0;;;
Mafhamte wallo;DAL;2;0;;;
Magnifique adore;FRN;1;0;;;
Mahmoud mxhina;DAL;1;0;;;
Majayach mo9ATI3a;DAL;2;0;;;
makanchoufo walou;DAL;2;0;;;
Makanchoufou walou;DAL;2;0;;;
Makanxofo walo;DAL;2;0;;;
Makynan walou;DAL;2;0;;;
Mal voix;FRN;2;0;;;
malha mchakrfa;DAL;2;0;;;
Manal enfin;FRN;1;0;;;
Mar7ba mar7ba;DAL;1;0;;;
Marft khoya;DAL;3;0;;;
Marrakech mcha9lab;DAL;2;0;;;
Marwan hantaa;DAL;3;0;;;
Maskhota h;DAL;2;1;;;
Maskina makhlo3a;DAL;2;0;;;
Mawasine mignaturise;FRN;3;0;;;
Mawranach achkaydir;DAL;2;0;;;
Mbrok tanja;DAL;1;0;;;
Mdr merci;FRN;1;0;;;
Mdr ridicule;FRN;2;0;;;
Mdrasa dyali;DAL;1;0;;;
Me gusta;ESP;1;0;;;
mebruuk eliikom;DAL;1;0;;;
Med الازمه;AUT;2;0;;;
Medola 3lache;DAL;3;0;;;
Merci bcq;FRN;1;0;;;
Merci simo;FRN;1;0;;;
Merhareba kolhom;DAL;1;0;;;
Mfht achkydiro;DAL;3;0;;;
Mihdiya bakali;DAL;3;0;;;
Mohammed 9as7a;DAL;3;0;;;
Moi meme;FRN;3;0;;;
Molk lah;DAL;3;0;;;
Mon quartier;FRN;3;0;;;
Mondiale 9alek;FRN;2;0;;;
Monkare tfo;FRN;2;1;;;
Mosiba h;DAL;2;1;;;
Mouna jeblili;DAL;3;0;;;
mzal sold;DAL;3;0;;;
na9eso chewiya;DAL;2;0;;;
Nancy angel;DAL;3;0;;;
nas tetuan;DAL;3;0;;;
Nice bebi;ANG;1;0;;;
Nice song;ANG;1;0;;;
Niima melloul;DAL;3;0;;;
Nohaila achbalik;DAL;3;0;;;
Ntemt3u h;DAL;1;0;;;
Number one;ANG;1;0;;;
Ou sa;FRN;3;0;;;
Oulah makdebti;DAL;1;0;;;
Party time;ANG;1;0;;;
Photo racoleuse;FRN;3;0;;;
piscine inclus;FRN;1;0;;;
Plage moniqua;FRN;3;0;;;
price please;ANG;3;0;;;
Prix 3afak;DAL;1;0;;;
Prix docteur;FRN;1;0;;;
Prix merci;FRN;1;0;;;
Programation h;FRN;3;0;;;
Puerta reina;ESP;3;0;;;
Que guapas;ESP;1;0;;;
Quelle ville;FRN;1;0;;;
rabi yekhelef;DAL;1;0;;;
Ramadan moubarake;DAL;1;0;;;
Rani jaye;DAL;1;0;;;
Raso 9asa7;DAL;2;1;;;
Raw3a machaallah;DAL;1;0;;;
Ri dahkine;DAL;1;0;;;
Ridwan naydaa;DAL;1;0;;;
Rien compris;FRN;2;0;;;
Rjo3 lilah;DAL;1;0;;;
Saad machefnahach;DAL;3;0;;;
sakhtilh meskhot;DAL;2;1;;;
Salah diki;DAL;3;0;;;
Salah lfokaha;DAL;1;0;;;
Salaheddine lilly;DAL;3;0;;;
Salam dokator;DAL;3;0;;;
salam dokteur;DAL;3;0;;;
salam swa3da;DAL;2;1;;;
Salame docteur;DAL;3;0;;;
Salma birouch;DAL;3;0;;;
Sardowahli wakja;DAL;3;0;;;
Sawt 3yane;DAL;2;0;;;
Sayftowahli flkhas;DAL;3;0;;;
Sbagha bagha;DAL;2;0;;;
Sbah nour;DAL;1;0;;;
shab jou3;DAL;2;1;;;
Shaman jreb;DAL;3;0;;;
Simo da7ya;DAL;2;0;;;
Sir dzmar;DAL;2;1;;;
Slm asmti;DAL;3;0;;;
Slm docteur;DAL;3;0;;;
So beautiful;ANG;1;0;;;
Soutta lemsekoutta;DAL;2;1;;;
Super bravo;FRN;1;0;;;
super docteur;FRN;1;0;;;
Super sympa;FRN;1;0;;;
Svp adresse;FRN;1;0;;;
Svp prix;FRN;1;0;;;
Swa3da zawaml;DAL;2;1;;;
syeda makhlou3a;DAL;2;0;;;
Tabarkalah alik;DAL;1;0;;;
tajmil haram;DAL;2;1;;;
Tant mieux;FRN;1;0;;;
Tatija bina;DAL;3;0;;;
Tbahdila 20d;DAL;2;0;;;
Tbaklah 3lik;DAL;1;0;;;
Tbarkalah 3lik;DAL;1;0;;;
Tbarkalah a3lik;DAL;1;0;;;
Tbarkalah alik;DAL;1;0;;;
Tbarkalh 3lik;DAL;1;0;;;
Tbarklah 3lik;DAL;1;0;;;
Tbarkllah 3lik;DAL;1;0;;;
Tbarkllah 3likom;DAL;1;0;;;
Tbarkllah alik;DAL;1;0;;;
Tbrklh 3lik;DAL;1;0;;;
tbrkllah 3lik;DAL;1;0;;;
Telephone svp;FRN;3;0;;;
Tellement vrai;FRN;1;0;;;
Temssa fdama;DAL;1;0;;;
Tetouan alhziza;DAL;1;0;;;
Tfo choha;DAL;2;1;;;
That rocks;ANG;1;0;;;
thx done;ANG;1;0;;;
Tima 9rit;DAL;3;0;;;
Titwan ydiriha;DAL;3;0;;;
Tjrs mieux;FRN;1;0;;;
Tmpa tkhales;DAL;3;0;;;
tout age;FRN;3;0;;;
tres beau;FRN;1;0;;;
Tres bien;FRN;1;0;;;
Tres interessant;FRN;1;0;;;
trop cool;FRN;1;0;;;
Tres bon;FRN;1;0;;;
Tres jolie;FRN;1;0;;;
Un criminel;FRN;2;1;;;
Version officieuse;FRN;2;0;;;
Very nice;ANG;1;0;;;
VIDEO 9DIM;DAL;2;0;;;
Vie vie;FRN;3;0;;;
Vielle photo;FRN;2;0;;;
Viva espana;FRN;1;0;;;
Vive Espagne;FRN;1;0;;;
Voix svp;FRN;3;0;;;
Vos coordonnees;FRN;3;0;;;
Votre adresse;FRN;3;0;;;
Vraiment cool;FRN;1;0;;;
Vraiment excellent;FRN;1;0;;;
Vraiment top;FRN;1;0;;;
Wa ba3;DAL;2;1;;;
Wa3ra h;DAL;1;0;;;
Wach darelha;DAL;3;0;;;
Wach gratuit;DAL;3;0;;;
wach mbnja;DAL;3;0;;;
Wache casa;DAL;3;0;;;
wache rabat;DAL;3;0;;;
Wajawb telefon;DAL;2;0;;;
Wak dalali;DAL;3;0;;;
Wallah bravo;DAL;1;0;;;
wallahila tjabdat;DAL;3;0;;;
warina lor;DAL;3;0;;;
Waw rai3;DAL;1;0;;;
Well done;ANG;1;0;;;
wjaha kayakhla3;DAL;2;1;;;
Wlad s3id;DAL;3;0;;;
Wooww catastrophe;FRN;2;0;;;
Wow beautiful;ANG;1;0;;;
Xni 3y3ml;DAL;3;0;;;
Ya3tik saha;DAL;1;0;;;
Yakma 3adato;DAL;2;0;;;
Yarbi amin;DAL;1;0;;;
Yarbi salama;DAL;1;0;;;
Yassine hahowa;DAL;3;0;;;
Younes 5oya;DAL;3;0;;;
ZahraBayad zgaltiha;DAL;2;0;;;
Zakaria تعلم;AUT;3;0;;;
Zaytona h;DAL;3;0;;;
Zra3 kwen;DAL;2;0;;;
zwin hadchi;DAL;1;0;;;
االجنوب الشرقي;ARC;3;0;;;
ااه ياوطن;ARC;1;0;;;
ابناء العاهرات;ARC;2;1;;;
اتركوه لهم;ARC;2;0;;;
احسن خاوه;DAA;1;0;;;
احسن سكيتش;DAA;1;0;;;
ادخولوها بصباطكم;DAA;2;0;;;
ارفود والنواحي;ARC;3;0;;;
اسميتها إلهام;ARC;3;0;;;
اش بغتيها;DAA;3;0;;;
اشتقت لامي;ARC;1;0;;;
اشمن ساعه;DAA;3;0;;;
اشن دكتور;DAA;3;0;;;
اشن كدير;DAA;3;0;;;
اشنو تيدير;DAA;3;0;;;
اشنو كيدير;DAA;3;0;;;
اشهد المصخ;DAA;2;1;;;
اضحوكه والله;ARC;1;0;;;
اعانكم الله;ARC;1;0;;;
اعتذار المتعجرفين;ARC;2;1;;;
اكتشاف خطير;ARC;2;0;;;
اكليل الجبل;ARC;3;0;;;
إكليل الورد;ARC;3;0;;;
اكيد نعم;ARC;1;0;;;
اكيد ورزازات;ARC;1;0;;;
الادمين عنصري;DAA;2;1;;;
الاصيل اصيل;ARC;1;0;;;
الامان عليك;DAA;1;0;;;
الامور حسمت;ARC;1;0;;;
البرلمان المغربي;ARC;3;0;;;
التخربيف هذا;DAA;2;1;;;
التصويت لازال;ARC;1;0;;;
التقحبين تفوا;DAA;2;1;;;
التمن شكرا;ARC;3;0;;;
الثمن ارجوك;ARC;3;0;;;
الثمن دكتور;ARC;3;0;;;
الثمن كم;ARC;3;0;;;
الثمن والمكان;ARC;3;0;;;
الجشع اعماكم;ARC;2;1;;;
الجنوب الشرقي;ARC;3;0;;;
الحاله دشتاء;DAA;3;0;;;
الحمد الله;ARC;1;0;;;
الحمد لله;ARC;1;0;;;
الزمن الجميل;ARC;1;0;;;
السلام وعليكم;ARC;1;0;;;
الشاي بالنعنااع;ARC;3;0;;;
الشرق Oujda;AUT;3;0;;;
الشواذ الوهابيين;ARC;2;1;;;
الصحراء المغربيه;ARC;1;0;;;
الصفحه ديالا;DAA;3;0;;;
الصوت بليز;DAA;3;0;;;
الصوت ضعيف;ARC;2;0;;;
الصوت عفاكم;DAA;3;0;;;
الصوت ناقص;ARC;2;0;;;
الصوطه المسخوطه;DAA;2;1;;;
الصيف سالات;DAA;3;0;;;
العروسه كتبرز;DAA;2;0;;;
العنوان فين;DAA;3;0;;;
العنوان والتلفون;ARC;3;0;;;
العنوان والثمن;ARC;3;0;;;
الف مبروك;ARC;1;0;;;
الفردوس الاعلي;ARC;1;0;;;
الفلبين الشقيقه;ARC;1;0;;;
القحبه زملات;DAA;2;1;;;
الكلاخ والجهل;DAA;2;1;;;
الل هيعطيك;DAA;1;0;;;
الله احفظك;DAA;1;0;;;
الله إراحمو;DAA;1;0;;;
الله ارحمو;DAA;1;0;;;
الله ارحموا;DAA;1;0;;;
الله اشفيها;DAA;1;0;;;
الله اكبر;ARC;1;0;;;
الله المعين;ARC;1;0;;;
الله الموفق;ARC;1;0;;;
الله اهديكم;DAA;1;0;;;
الله اوفقك;DAA;1;0;;;
الله بارك;DAA;1;0;;;
الله برحمو;DAA;1;0;;;
الله غالب;DAA;1;0;;;
الله معك;DAA;1;0;;;
الله يحفظ;DAA;1;0;;;
الله يرحم;DAA;1;0;;;
الله يرحمك;DAA;1;0;;;
الله يرحمنا;DAA;1;0;;;
الله يرحمه;DAA;1;0;;;
الله يرحمهما;DAA;1;0;;;
الله يرحمو;DAA;1;0;;;
الله يرحموا;DAA;1;0;;;
الله يستر;DAA;1;0;;;
الله يشافيه;DAA;1;0;;;
الله يشافيها;DAA;1;0;;;
الله يشفيها;DAA;1;0;;;
الله يعاونكم;DAA;1;0;;;
الله يلطف;DAA;1;0;;;
الله يوفق;DAA;1;0;;;
الله يوفقك;DAA;1;0;;;
اللهم احفظنا;ARC;1;0;;;
اللهم ارحمه;ARC;1;0;;;
اللهم امين;ARC;1;0;;;
اللهم اميين;ARC;1;0;;;
اللهم بارك;ARC;1;0;;;
المغاربه جلهم;ARC;1;0;;;
المغرب العزيز;ARC;1;0;;;
المغرب باكمله;ARC;1;0;;;
المغرب كافه;ARC;1;0;;;
المغرب كله;ARC;1;0;;;
الهم يضحك;DAA;2;0;;;
الوجه الاخر;ARC;2;1;;;
الي الجحيم;ARC;2;1;;;
اموال الحلال;ARC;1;0;;;
اموال الشعب;ARC;2;1;;;
امين يارب;ARC;1;0;;;
اميين يارب;ARC;1;0;;;
انا بزاف;DAA;3;0;;;
انا شخصيا;ARC;3;0;;;
انت كاتخلعني;DAA;2;1;;;
إنشاء الله;ARC;1;0;;;
ايام الدراسه;ARC;1;0;;;
ايام زمان;ARC;1;0;;;
اين المكان;ARC;3;0;;;
اين عنوان;ARC;3;0;;;
بالتوفيق استاذه;ARC;1;0;;;
بالتوفيق دكتور;ARC;1;0;;;
بالتوفيق للجميع;ARC;1;0;;;
بالشفاء العاجل;ARC;1;0;;;
بالصحه غزاله;DAA;1;0;;;
بالنجاح والتوفيق;ARC;1;0;;;
بان الفرق;DAA;1;0;;;
باين الفرق;DAA;1;0;;;
بدون مستوي;ARC;2;1;;;
برافو دكتور;DAA;1;0;;;
برافو عليهم;DAA;1;0;;;
بسلتو والله;DAA;2;1;;;
بصحتكم تستاهلوت;DAA;1;0;;;
بغا الترقيه;DAA;2;0;;;
بلاد الفساد;ARC;2;1;;;
بلاد الفقراء;ARC;2;1;;;
تاركه القديمه;DAA;2;1;;;
تبارك الله;ARC;1;0;;;
تبهديله ه;DAA;2;1;;;
تستاهل صراحه;DAA;1;0;;;
تستحق التشجيع;ARC;1;0;;;
تطوان خاويه;DAA;3;0;;;
تطوانيه pora;AUT;1;0;;;
تفو عليكم;DAA;2;1;;;
تمن واين;DAA;3;0;;;
توما شهد;DAA;3;0;;;
ثمن العمليه;ARC;3;0;;;
جاءت زوينه;DAA;1;0;;;
جاتهوم الزملا;DAA;2;1;;;
جباله معروفه;DAA;3;0;;;
جراتيم الوطن;ARC;2;1;;;
جماهير كالبقر;ARC;2;1;;;
جميع المغاربه;ARC;3;0;;;
جهنم توحشتكم;DAA;2;1;;;
جوع ونوع;DAA;2;1;;;
حامضون والله;DAA;2;1;;;
حشومه والله;DAA;2;0;;;
حشومه عليهم;DAA;2;0;;;
حماد لكبير;DAA;1;0;;;
حماقه زيزون;DAA;2;1;;;
حمدوالله يارب;DAA;1;0;;;
حملوه مسكين;DAA;3;0;;;
حيتاش زامل;DAA;2;1;;;
خبات والله;DAA;2;1;;;
خبر كاذب;ARC;2;1;;;
خليفه عالله;DAA;1;0;;;
خليه يتصدا;DAA;2;1;;;
خليه يروب;DAA;2;1;;;
خليه يريب;DAA;2;1;;;
خوي طنجه;DAA;2;1;;;
دار الواليد;DAA;3;0;;;
دراهم الحرام;ARC;2;1;;;
درب الخير;DAA;1;0;;;
دفتر الوساخ;DAA;2;1;;;
دكاله الحرار;DAA;1;0;;;
دكاله بالخصوص;ARC;1;0;;;
دكتور العنوان;ARC;3;0;;;
دكتور محلك;DAA;3;0;;;
ديب الغابه;DAA;2;1;;;
ذكريات جميله;ARC;1;0;;;
راجل ونص;DAA;1;0;;;
راكم تما;DAA;1;0;;;
رامز الخال;DAA;3;0;;;
راه نياش;DAA;1;0;;;
راها عيانه;DAA;2;1;;;
راءع جدا;ARC;1;0;;;
ربي خالصم;DAA;2;0;;;
ربي يشفيك;DAA;1;0;;;
رحمه الله;ARC;1;0;;;
رضاكي ياامي;ARC;1;0;;;
رقم التليفون;ARC;3;0;;;
رقم الهاتف;ARC;3;0;;;
رقم تليفون;ARC;3;0;;;
روعه والله;ARC;1;0;;;
زحف الحشرات;ARC;2;1;;;
زهره الحياه;ARC;1;0;;;
سايس سايس;DAA;1;0;;;
سبب الاخلاق;ARC;1;0;;;
سبحان الله;ARC;1;0;;;
ستاويل انخمم;DAA;3;0;;;
ستقتلكم شعوبكم;ARC;2;1;;;
سدره المنتهي;ARC;2;0;;;
سكان الجبال;ARC;3;0;;;
سهره ممتعه;ARC;1;0;;;
سوسي مفيوزي;DAA;2;1;;;
سوق الدلاله;DAA;2;0;;;
سوقها خاوي;DAA;2;1;;;
سوني هرغم;DAA;3;0;;;
شارفه مكتحشمش;DAA;2;1;;;
شاكير allo;AUT;3;0;;;
شحال الثمن;DAA;3;0;;;
شحال باسله;DAA;2;1;;;
شحال تمن;DAA;3;0;;;
شحال ثمن;DAA;3;0;;;
شحال سعر;DAA;3;0;;;
شحال كتدوم;DAA;3;0;;;
شعب فاشل;ARC;2;1;;;
شعب مكلخ;DAA;2;1;;;
شفتو المصيبه;DAA;2;0;;;
شكرا لكم;ARC;1;0;;;
شكرن يادكتورر;DAA;1;0;;;
شكون هادي;DAA;3;0;;;
شنو كيعمل;DAA;3;0;;;
شنو وقع;DAA;3;0;;;
شني سميتها;DAA;3;0;;;
شوهتي بالتطوانين;DAA;2;1;;;
شيء جميل;ARC;1;0;;;
شيافر تقادو;DAA;2;0;;;
شيء عجيب;ARC;2;0;;;
صاوت والو;DAA;2;1;;;
صباح الخير;ARC;1;0;;;
صوت ضعيف;ARC;2;1;;;
صوره ممله;ARC;2;0;;;
طار الزواق;DAA;2;0;;;
عالام هعه;DAA;2;0;;;
عايزه افهم;DAA;3;0;;;
عباد الصليب;ARC;2;1;;;
عبخري إرحل;DAA;2;1;;;
عفك تمن;DAA;3;0;;;
عندك حق;DAA;1;0;;;
عندهم الصح;DAA;1;0;;;
عندو الحق;DAA;2;0;;;
عنصوري هادا;DAA;2;1;;;
عيب وعار;ARC;2;0;;;
عينها تجبدو;DAA;2;1;;;
عينيها تتزعزع;DAA;2;1;;;
غايب الكبال;DAA;3;0;;;
غرباوه خويا;DAA;3;0;;;
غير كضحك;DAA;1;0;;;
غير مقبول;ARC;2;0;;;
فالحبوس واقيلا;DAA;2;0;;;
فخبارك انافرحان;DAA;1;0;;;
فرق واضح;ARC;1;0;;;
فعلا راءع;ARC;1;0;;;
فكره هاءله;ARC;1;0;;;
فلنكتفي ببشاخ;DAA;1;0;;;
